,episode_reward,nb_episode_steps,nb_steps
348,98.75405649889957,139,30118
349,-100.91469629412407,237,30355
350,-101.79366632328654,230,30585
351,-197.70929410921752,14,30599
352,-108.18638403040254,25,30624
353,-195.1191190695469,13,30637
354,-100.77042633188064,21,30658
355,-100.19519112224049,15,30673
356,25.01924712625194,214,30887
357,-196.5462264443563,14,30901
358,-102.66856696479358,17,30918
359,-101.05046116990584,24,30942
360,12.686825057086367,226,31168
361,-100.54138000433365,221,31389
362,-103.34978675288795,16,31405
363,-100.4186816910858,232,31637
364,96.37253388843493,142,31779
365,-100.02728708636616,232,32011
366,17.36232480035335,219,32230
367,-100.75127818418133,237,32467
368,92.19560466475579,146,32613
369,-197.6585755213762,15,32628
370,-100.07457401136526,12,32640
371,-198.95174902085552,19,32659
372,74.39540861916686,163,32822
373,-126.34309231841559,44,32866
374,-118.45369637177191,32,32898
375,-199.5950016537212,17,32915
376,-100.31350341759617,226,33141
377,-126.43794181042014,40,33181
378,-101.37029129037897,227,33408
379,-100.5242305380348,208,33616
380,-102.57655432094656,16,33632
381,-126.90439347568665,43,33675
382,-109.15256907723699,29,33704
383,-100.92968897364595,218,33922
384,30.144374288422327,209,34131
385,-110.39333805312778,27,34158
386,-102.29792300628888,19,34177
387,-103.87484907961975,20,34197
388,74.10015279341629,164,34361
389,-111.95779013303303,25,34386
390,-110.07327083744264,20,34406
391,-100.84183889625665,17,34423
392,-198.4786000797564,15,34438
393,-196.35376977007388,28,34466
394,-112.14766862436366,27,34493
395,24.385456051394257,213,34706
396,121.53240643185269,117,34823
397,-195.23567204512293,12,34835
398,-100.81920134163026,16,34851
399,-106.64782127687502,30,34881
400,-196.15423241815463,13,34894
401,-199.02519998025514,16,34910
402,-111.23552512834941,25,34935
403,-111.72384940389024,29,34964
404,-108.79528179672158,23,34987
405,-101.04496533336712,17,35004
406,-102.7537569467612,20,35024
407,-123.74641795251023,44,35068
408,-111.75987704185292,32,35100
409,-108.39710651386916,26,35126
410,-104.23570249325874,26,35152
411,-199.0355037307176,16,35168
412,-100.90774615959434,17,35185
413,-193.88131343967575,11,35196
414,9.88669518731173,227,35423
415,-197.75205885299826,19,35442
416,-100.0943529914329,208,35650
417,-101.1711097578943,233,35883
418,65.11046833071583,174,36057
419,-196.76357764683172,14,36071
420,-100.07933844086958,233,36304
421,-103.58772025393701,17,36321
422,-100.2300186065774,233,36554
423,-105.87402234065401,25,36579
424,106.7299000404683,132,36711
425,-119.7322476380724,40,36751
426,45.10198333886968,194,36945
427,118.5872463403775,120,37065
428,14.676268652998075,224,37289
429,-102.88521221251133,231,37520
