;episode_reward;episode_reward;decimal;nb_episode_steps;nb_steps
842;-91;-91,62691588128558;6,26916E+13;12;13734
;;;;;
843;-86;-86,26330158077516;2,63302E+13;12;13746
;;;;;
844;-97;-97,70429976405987;7,043E+13;10;13756
;;;;;
845;-138;-138,77763511808465;7,77635E+13;14;13770
;;;;;
846;-93;-93,66366071975864;6,63661E+13;10;13780
;;;;;
847;-114;-114,28070451172522;2,80705E+13;12;13792
;;;;;
848;-96;-96,5278832359582;5,27883E+12;12;13804
;;;;;
849;-107;-107,59248470715636;5,92485E+13;17;13821
;;;;;
850;-88;-88,62878629021085;6,28786E+13;11;13832
;;;;;
851;-92;-92,17089264247718;1,70893E+13;10;13842
;;;;;
852;-86;-86,1930083595912;1,93008E+12;12;13854
;;;;;
853;-189;-189,77976437301348;7,79764E+13;19;13873
;;;;;
854;-97;-97,54357652368682;5,43577E+13;11;13884
;;;;;
855;-98;-98,73480264083867;7,34803E+13;10;13894
;;;;;
856;-84;-84,69222210846988;6,92222E+13;13;13907
;;;;;
857;-132;-132,50427269819548;5,04273E+13;18;13925
;;;;;
858;-124;-124,88010261691107;8,80103E+13;14;13939
;;;;;
859;-120;-120,2317713115403;2,31771E+12;14;13953
;;;;;
860;-114;-114,86543742611596;8,65437E+13;10;13963
;;;;;
861;-120;-120,62680593737377;6,26806E+13;13;13976
;;;;;
862;-197;-197,99517973039855;9,9518E+13;20;13996
;;;;;
863;-98;-98,54788137072458;5,47881E+13;19;14015
;;;;;
864;-179;-179,4843991147114;4,84399E+12;22;14037
;;;;;
865;-117;-117,2733232575408;2,73323E+12;18;14055
;;;;;
866;-121;-121,46255268317458;4,62553E+13;15;14070
;;;;;
867;-121;-121,62441052414286;6,24411E+13;17;14087
;;;;;
868;-104;-104,72631549205119;7,26315E+13;15;14102
;;;;;
869;-134;-134,85838948889898;8,58389E+13;14;14116
;;;;;
870;-98;-98,7034972096377;7,03497E+12;10;14126
;;;;;
871;-111;-111,18694896695436;1,86949E+13;12;14138
;;;;;
872;-98;-98,70915464198413;7,09155E+13;10;14148
;;;;;
873;-97;-97,97681672659334;9,76817E+13;15;14163
;;;;;
874;-135;-135,62509737872418;6,25097E+13;14;14177
;;;;;
875;-118;-118,65585009285599;6,5585E+13;10;14187
;;;;;
876;-96;-96,55532112510056;5,55321E+13;12;14199
;;;;;
877;-96;-96,54992101523456;5,49921E+13;12;14211
;;;;;
878;-97;-97,57386627722153;5,73866E+13;11;14222
;;;;;
879;-97;-97,74003462773155;7,40035E+13;10;14232
;;;;;
880;-52;-52,70373011225743;7,0373E+13;16;14248
;;;;;
881;-146;-146,40661107214098;4,06611E+13;18;14266
;;;;;
882;-125;-125,40327939459698;4,03279E+13;23;14289
;;;;;
883;-123;-123,28497104589042;2,84971E+13;13;14302
;;;;;
884;-529;-529,1506079721845;1,50608E+12;35;14337
;;;;;
885;-86;-86,55960502223562;5,59605E+13;16;14353
;;;;;
886;-88;-88,65001207306616;6,50012E+13;11;14364
;;;;;
887;-115;-115,59546074737801;5,95461E+13;12;14376
;;;;;
888;-96;-96,43768763246553;4,37688E+13;9;14385
;;;;;
889;-100;-100,83175872837444;8,31759E+13;17;14402
;;;;;
890;-96;-96,59643873033144;5,96439E+13;12;14414
;;;;;
891;-455;-455,8958035637232;8,95804E+12;41;14455
;;;;;
892;-84;-84,76418434415845;7,64184E+13;13;14468
;;;;;
893;-97;-97,690780292503;6,9078E+11;10;14478
;;;;;
894;-305;-305,77608300654157;7,76083E+13;35;14513
;;;;;
895;-96;-96,63062506767119;6,30625E+13;12;14525
;;;;;
896;-96;-96,59029352564838;5,90294E+13;12;14537
;;;;;
897;-111;-111,80045740009348;8,00457E+13;13;14550
;;;;;
898;-84;-84,77574682919817;7,75747E+13;15;14565
;;;;;
899;-115;-115,99047651558206;9,90477E+13;12;14577
;;;;;
900;-120;-120,71921332457754;7,19213E+13;13;14590
;;;;;
901;-98;-98,68512150782493;6,85122E+13;10;14601
;;;;;
902;-98;-98,89404064746168;8,94041E+13;9;14610
;;;;;
903;-103;-103,72215742124811;7,22157E+13;15;14625
;;;;;
904;-113;-113,36063832741854;3,60638E+13;17;14642
;;;;;
905;-96;-96,49163222123133;4,91632E+13;12;14654
;;;;;
906;-96;-96,54300818828918;5,43008E+13;12;14666
;;;;;
907;-123;-123,70571127169939;7,05711E+13;15;14681
;;;;;
908;-124;-124,72733837982648;7,27338E+13;14;14695
;;;;;
909;-121;-121,7838408221593;7,83841E+12;14;14709
;;;;;
910;-96;-96,73821881557842;7,38219E+13;11;14720
;;;;;
911;-150;-150,61403027464186;6,1403E+13;16;14736
;;;;;
912;-96;-96,67931505632734;6,79315E+13;13;14749
;;;;;
913;-116;-116,942688288441;9,42688E+11;12;14761
;;;;;
914;-716;-716,4266808232428;4,26681E+12;49;14810
;;;;;
915;-102;-102,4437820346565;4,43782E+12;12;14822
;;;;;
916;-141;-141,52981151005307;5,29812E+13;15;14837
;;;;;
917;-157;-157,9688810980126;9,68881E+12;26;14863
;;;;;
918;-97;-97,70777421461136;7,07774E+13;10;14873
;;;;;
919;-86;-86,20546550433718;2,05466E+13;12;14885
;;;;;
920;-84;-84,781898023564;7,81898E+11;13;14898
;;;;;
921;-91;-91,89647207768928;8,96472E+13;10;14908
;;;;;
922;-92;-92,9912890338595;9,91289E+12;10;14918
;;;;;
923;-98;-98,7207256378187;7,20726E+12;11;14929
;;;;;
924;-106;-106,8501378108271;8,50138E+12;13;14942
;;;;;
925;-86;-86,14138018336229;1,4138E+13;12;14954
;;;;;
926;-98;-98,7188213430571;7,18821E+12;10;14964
;;;;;
927;-97;-97,68926030858987;6,8926E+13;10;14974
;;;;;
928;-110;-110,5182842424509;5,18284E+12;16;14990
;;;;;
929;-118;-118,30863309026287;3,08633E+13;11;15001
;;;;;
930;-150;-150,28481477259277;2,84815E+13;15;15016
;;;;;
931;-100;-100,60306641659668;6,03066E+13;12;15028
;;;;;
932;-84;-84,30361030146119;3,0361E+13;14;15042
;;;;;
933;-138;-138,6117282079118;6,11728E+12;13;15055
;;;;;
934;-138;-138,63947588921255;6,39476E+13;13;15068
;;;;;
935;-138;-138,77439087248064;7,74391E+13;14;15082
;;;;;
936;-128;-128,34336099125696;3,43361E+13;16;15098
;;;;;
937;-98;-98,70660939916476;7,06609E+13;10;15108
;;;;;
938;-88;-88,66550409448618;6,65504E+13;11;15119
;;;;;
939;-106;-106,885578910921;8,85579E+11;15;15134
;;;;;
940;-131;-131,95573611411535;9,55736E+13;14;15148
;;;;;
941;-116;-116,72078892922602;7,20789E+13;12;15160
;;;;;
942;-143;-143,88908003215076;8,8908E+13;14;15174
;;;;;
943;-63;-63,955769674112844;9,5577E+14;17;15191
;;;;;
944;-367;-367,2238823741744;2,23882E+12;26;15217
;;;;;
945;-104;-104,10081832609316;1,00818E+13;12;15229
;;;;;
946;-187;-187,82898551666335;8,28986E+13;19;15248
;;;;;
947;-96;-96,42815866621109;4,28159E+13;9;15257
;;;;;
948;-97;-97,18975947083021;1,89759E+13;9;15266
;;;;;
949;-149;-149,1645525286384;1,64553E+12;16;15282
;;;;;
950;-119;-119,16592187617377;1,65922E+13;16;15298
;;;;;
951;-661;-661,1971741303905;1,97174E+12;36;15334
;;;;;
952;-273;-273,58594134455245;5,85941E+13;23;15357
;;;;;
953;-84;-84,74184796182249;7,41848E+13;13;15370
;;;;;
954;-891;-891,4010922251338;4,01092E+12;45;15415
;;;;;
955;-653;-653,222191894395;2,22192E+11;37;15452
;;;;;
956;-199;-199,82610347902357;8,26103E+13;21;15473
;;;;;
957;-675;-675,5678621437845;5,67862E+12;38;15511
;;;;;
958;-1383;-1383,2707461953432;2,70746E+12;52;15563
;;;;;
959;-135;-135,8780829962366;8,78083E+12;15;15578
;;;;;
960;-218;-218,24301944211143;2,43019E+13;25;15603
;;;;;
961;-240;-240,8650806456504;8,65081E+12;20;15623
;;;;;
962;-261;-261,64783192122854;6,47832E+13;24;15647
;;;;;
963;-231;-231,199688684655;1,99689E+11;22;15669
;;;;;
964;-138;-138,6233854210117;6,23385E+12;13;15682
;;;;;
965;-320;-320,80649456148916;8,06495E+13;24;15706
;;;;;
966;-270;-270,68189791349886;6,81898E+13;21;15727
;;;;;
967;-96;-96,7022288162843;7,02229E+12;11;15738
;;;;;
968;-190;-190,58286340517736;5,82863E+13;18;15756
;;;;;
969;-116;-116,2581409074054;2,58141E+12;12;15768
;;;;;
970;-96;-96,28415843041918;2,84158E+13;9;15777
;;;;;
971;-469;-469,39265568440874;3,92656E+13;29;15806
;;;;;
972;-166;-166,86916100963916;8,69161E+13;17;15823
;;;;;
973;-193;-193,79598251136673;7,95983E+13;18;15841
;;;;;
974;-106;-106,86564621916494;8,65646E+13;13;15854
;;;;;
975;-101;-101,26608608421287;2,66086E+13;12;15866
;;;;;
976;-97;-97,15541367272249;1,55414E+13;9;15875
;;;;;
977;-169;-169,80583139972765;8,05831E+13;17;15892
;;;;;
978;-88;-88,65226620090758;6,52266E+13;11;15903
;;;;;
979;-92;-92,10115244483421;1,01152E+13;10;15913
;;;;;
980;-129;-129,6631628927052;6,63163E+12;20;15933
;;;;;
981;-118;-118,87575250726951;8,75753E+13;12;15945
;;;;;
982;-116;-116,88093995290802;8,8094E+13;12;15957
;;;;;
983;-165;-165,50523610190456;5,05236E+13;15;15972
;;;;;
984;-88;-88,69784428222732;6,97844E+13;11;15983
;;;;;
985;-113;-113,19960936270121;1,99609E+13;12;15995
;;;;;
986;-116;-116,82116443112628;8,21164E+13;12;16007
;;;;;
987;-226;-226,89081897371565;8,90819E+13;18;16025
;;;;;
988;-118;-118,80816473680096;8,08165E+13;12;16037
;;;;;
989;-328;-328,87279087378823;8,72791E+13;24;16061
;;;;;
990;-98;-98,70982721013993;7,09827E+13;10;16071
;;;;;
991;-115;-115,58847623097702;5,88476E+13;11;16082
;;;;;
992;-114;-114,85639040297829;8,5639E+13;10;16092
;;;;;
993;-115;-115,61206651777735;6,12067E+13;11;16103
;;;;;
994;-117;-117,9828944386939;9,82894E+12;11;16114
;;;;;
995;-101;-101,40980889995538;4,09809E+13;11;16125
;;;;;
996;-164;-164,7836368075747;7,83637E+12;16;16141
;;;;;
997;-150;-150,38405070468937;3,84051E+13;15;16156
;;;;;
998;-98;-98,69261943096339;6,92619E+13;10;16166
;;;;;
999;-98;-98,71822303792064;7,18223E+13;10;16176
;;;;;
1000;-143;-143,8340174461159;8,34017E+12;14;16190
;;;;;
1001;-41;-41,653573601495765;6,53574E+14;17;16207
;;;;;
1002;-98;-98,7344386192189;7,34439E+12;10;16217
;;;;;
1003;-120;-120,99051922962875;9,90519E+13;13;16230
;;;;;
1004;-150;-150,30082109216812;3,00821E+13;15;16245
;;;;;
1005;-98;-98,28554283112183;2,85543E+13;13;16258
;;;;;
1006;-99;-99,73804390263021;7,38044E+13;12;16270
;;;;;
1007;-42;-42,59328926834979;5,93289E+13;23;16293
;;;;;
1008;-101;-101,52134438612492;5,21344E+13;11;16304
;;;;;
1009;-101;-101,41826734089065;4,18267E+13;11;16315
;;;;;
1010;-194;-194,21079263442434;2,10793E+13;27;16342
;;;;;
1011;-99;-99,3741924013477;3,74192E+12;16;16358
;;;;;
1012;-100;-100,63617756573763;6,36178E+13;13;16371
;;;;;
1013;-88;-88,6361714149781;6,36171E+12;11;16382
;;;;;
1014;-92;-92,13218338333053;1,32183E+13;10;16392
;;;;;
1015;-86;-86,15118987625021;1,5119E+13;12;16404
;;;;;
1016;-98;-98,2788137483019;2,78814E+12;11;16415
;;;;;
1017;-136;-136,834342504027;8,34343E+11;15;16430
;;;;;
1018;-87;-87,5456489764808;5,45649E+12;11;16441
;;;;;
1019;-95;-95,48580563424179;4,85806E+13;15;16456
;;;;;
1020;-89;-89,99593430413805;9,95934E+13;15;16471
;;;;;
1021;-86;-86,2192729107983;2,19273E+12;12;16483
;;;;;
1022;-86;-86,20796265235091;2,07963E+13;12;16495
;;;;;
1023;-111;-111,87641549177158;8,76415E+13;11;16506
;;;;;
1024;-98;-98,74198491604315;7,41985E+13;10;16516
;;;;;
1025;-100;-100,18854393692888;1,88544E+13;13;16529
;;;;;
1026;-63;-63,94615501930511;9,46155E+13;17;16546
;;;;;
1027;-101;-101,40768092179718;4,07681E+13;11;16557
;;;;;
1028;-99;-99,51717745343188;5,17177E+13;11;16568
;;;;;
1029;-105;-105,64269512677893;6,42695E+13;9;16577
;;;;;
1030;-99;-99,73284356307579;7,32844E+13;16;16593
;;;;;
1031;-103;-103,24200910021978;2,42009E+13;13;16606
;;;;;
1032;-94;-94,95700476030723;9,57005E+13;12;16618
;;;;;
1033;-94;-94,62293024918418;6,2293E+13;13;16631
;;;;;
1034;-92;-92,8890152175826;8,89015E+12;10;16641
;;;;;
1035;-99;-99,53884091582373;5,38841E+13;11;16652
;;;;;
1036;-97;-97,4395814412032;4,39581E+12;11;16663
;;;;;
1037;-116;-116,8647564135047;8,64756E+12;12;16675
;;;;;
1038;-105;-105,66376931058946;6,63769E+13;12;16687
;;;;;
1039;-110;-110,89132248660829;8,91322E+13;11;16698
;;;;;
1040;-92;-92,3263807694702;3,26381E+12;10;16708
;;;;;
1041;-96;-96,36956922873188;3,69569E+13;9;16717
;;;;;
1042;-113;-113,18249534260565;1,82495E+13;12;16729
;;;;;
1043;-97;-97,5852520016069;5,85252E+12;11;16740
;;;;;
1044;-101;-101,21537942412914;2,15379E+13;12;16752
;;;;;
1045;-106;-106,22702917274506;2,27029E+13;9;16761
;;;;;
1046;-106;-106,22467266769215;2,24673E+13;9;16770
;;;;;
1047;-94;-94,81508825213194;8,15088E+13;12;16782
;;;;;
1048;-100;-100,55671797352664;5,56718E+13;12;16794
;;;;;
1049;-92;-92,13545698040656;1,35457E+13;10;16804
;;;;;
1050;-98;-98,86683547646055;8,66835E+13;9;16813
;;;;;
1051;-84;-84,1520325260316;1,52033E+12;10;16823
;;;;;
1052;-92;-92,14941504945159;1,49415E+13;10;16833
;;;;;
1053;-86;-86,1946822270692;1,94682E+12;12;16845
;;;;;
1054;-96;-96,33449441868893;3,34494E+13;11;16856
;;;;;
1055;-419;-419,22739743819034;2,27397E+13;45;16901
;;;;;
1056;-94;-94,94492560788763;9,44926E+13;12;16913
;;;;;
1057;-95;-95,1771529276454;1,77153E+12;12;16925
;;;;;
1058;-105;-105,2834607338466;2,83461E+12;10;16935
;;;;;
1059;-103;-103,88911278332014;8,89113E+13;10;16945
;;;;;
1060;-112;-112,70656650711996;7,06567E+13;14;16959
;;;;;
1061;-94;-94,94572699740613;9,45727E+13;12;16971
;;;;;
1062;-76;-76,73399510579111;7,33995E+13;20;16991
;;;;;
1063;-85;-85,44250763771231;4,42508E+13;12;17003
;;;;;
1064;-97;-97,6424778705065;6,42478E+12;11;17014
;;;;;
1065;-97;-97,78365672782485;7,83657E+13;8;17022
;;;;;
1066;-118;-118,27548076380396;2,75481E+13;11;17033
;;;;;
1067;-94;-94,58620033863136;5,862E+13;17;17050
;;;;;
1068;-111;-111,24009615754;24009615754;15;17065
;;;;;
1069;-119;-119,86141887226054;8,61419E+13;15;17080
;;;;;
1070;-98;-98,44809634512237;4,48096E+13;10;17090
;;;;;
1071;-126;-126,193222917583;1,93223E+11;14;17104
;;;;;
1072;-107;-107,91455212143916;9,14552E+13;12;17116
;;;;;
1073;-88;-88,63987751587129;6,39878E+13;11;17127
;;;;;
1074;-92;-92,6799460323344;6,79946E+12;10;17137
;;;;;
1075;-106;-106,19585224475591;1,95852E+13;9;17146
;;;;;
1076;-96;-96,330394795414;3,30395E+11;10;17156
;;;;;
1077;-121;-121,55441339845669;5,54413E+13;15;17171
;;;;;
1078;-121;-121,28746267252654;2,87463E+13;16;17187
;;;;;
1079;-137;-137,98455271473216;9,84553E+13;13;17200
;;;;;
1080;-94;-94,99351338129514;9,93513E+13;12;17212
;;;;;
1081;-92;-92,13268707660302;1,32687E+13;10;17222
;;;;;
1082;-92;-92,7280611454595;7,28061E+12;10;17232
;;;;;
1083;-94;-94,7957235292076;7,95724E+12;13;17245
;;;;;
1084;-121;-121,87358057726911;8,73581E+13;15;17260
;;;;;
1085;-78;-78,81818305550672;8,18183E+13;18;17278
;;;;;
1086;-127;-127,99235631021398;9,92356E+13;15;17293
;;;;;
1087;-113;-113,53874841402714;5,38748E+13;12;17305
;;;;;
1088;-114;-114,8738427412656;8,73843E+12;13;17318
;;;;;
1089;-59;-59,908553351190704;9,08553E+14;15;17333
;;;;;
1090;-99;-99,75495188114957;7,54952E+13;13;17346
;;;;;
1091;-94;-94,61393223443687;6,13932E+13;13;17359
;;;;;
1092;-94;-94,95846491541252;9,58465E+13;12;17371
;;;;;
1093;-96;-96,33830669419513;3,38307E+13;11;17382
;;;;;
1094;-98;-98,74355709832514;7,43557E+13;11;17393
;;;;;
1095;316;316,536730252643;5,3673E+11;43;17436
;;;;;
1096;-94;-94,78809731026345;7,88097E+13;13;17449
;;;;;
1097;-94;-94,90458845474905;9,04588E+13;12;17461
;;;;;
1098;-104;-104,74910391086405;7,49104E+13;13;17474
;;;;;
1099;-96;-96,35666430648257;3,56664E+13;11;17485
;;;;;
1100;-94;-94,1013062752422;1,01306E+12;14;17499
;;;;;
1101;-94;-94,71535689538118;7,15357E+13;13;17512
;;;;;
1102;-94;-94,69542551579033;6,95426E+13;13;17525
;;;;;
1103;-94;-94,7456955195228;7,45696E+12;13;17538
;;;;;
1104;-89;-89,80920063273;80920063273;19;17557
;;;;;
1105;-96;-96,842713439499;8,42713E+11;10;17567
;;;;;
1106;-87;-87,17877654104544;1,78777E+13;17;17584
;;;;;
1107;-5;-5,483792335785438;4,83792E+14;30;17614
;;;;;
1108;-89;-89,6250833946489;6,25083E+12;12;17626
;;;;;
1109;-108;-108,64638674826983;6,46387E+13;16;17642
;;;;;
1110;-92;-92,15459036023967;1,5459E+13;10;17652
;;;;;
1111;-92;-92,12519122730626;1,25191E+13;10;17662
;;;;;
1112;-124;-124,8812254821424;8,81225E+12;12;17674
;;;;;
1113;-97;-97,78577375346939;7,85774E+13;8;17682
;;;;;
1114;-106;-106,87149469934872;8,71495E+13;13;17695
;;;;;
1115;-107;-107,59644218530079;5,96442E+13;11;17706
;;;;;
1116;-118;-118,97560890742614;9,75609E+13;19;17725
;;;;;
1117;-106;-106,82439965565916;8,244E+13;13;17738
;;;;;
1118;-101;-101,23619579732642;2,36196E+13;12;17750
;;;;;
1119;-118;-118,58739886376674;5,87399E+13;13;17763
;;;;;
1120;-92;-92,19141915020975;1,91419E+13;10;17773
;;;;;
1121;-86;-86,1772490597256;1,77249E+12;12;17785
;;;;;
1122;-114;-114,88020984640482;8,8021E+13;13;17798
;;;;;
1123;-86;-86,3908101403337;3,9081E+12;12;17810
;;;;;
1124;-122;-122,52808200361113;5,28082E+13;14;17824
;;;;;
1125;-93;-93,42740296102312;4,27403E+13;23;17847
;;;;;
1126;-107;-107,76559085546398;7,65591E+13;12;17859
;;;;;
1127;-109;-109,72525765280474;7,25258E+13;15;17874
;;;;;
1128;-117;-117,90212299145824;9,02123E+13;16;17890
;;;;;
1129;-2438;-2438,264744792945;2,64745E+11;138;18028
;;;;;
1130;-129;-129,748189601499;7,4819E+11;14;18042
;;;;;
1131;-86;-86,18519506054616;1,85195E+13;12;18054
;;;;;
1132;-112;-112,11858638826192;1,18586E+13;9;18063
;;;;;
1133;-92;-92,17517288458814;1,75173E+13;10;18073
;;;;;
1134;-90;-90,66636404288758;6,66364E+13;12;18085
;;;;;
1135;-97;-97,63800349179388;6,38003E+13;11;18096
;;;;;
1136;-113;-113,17083233878759;1,70832E+13;12;18108
;;;;;
1137;-92;-92,1619493453469;1,61949E+12;10;18118
;;;;;
1138;-95;-95,37344490477702;3,73445E+13;12;18130
;;;;;
1139;-111;-111,27695735020549;2,76957E+13;14;18144
;;;;;
1140;-127;-127,96760969923085;9,6761E+13;15;18159
;;;;;
1141;-94;-94,78522339560166;7,85223E+13;13;18172
;;;;;
1142;-120;-120,4650977931826;4,65098E+12;14;18186
;;;;;
1143;-79;-79,7306196009836;7,3062E+12;19;18205
;;;;;
1144;-114;-114,89587125259152;8,95871E+13;13;18218
;;;;;
1145;-102;-102,85264088677931;8,52641E+13;22;18240
;;;;;
1146;-104;-104,56039499106072;5,60395E+13;15;18255
;;;;;
1147;-98;-98,70438441400472;7,04384E+13;11;18266
;;;;;
1148;-53;-53,12001804827531;1,20018E+13;21;18287
;;;;;
1149;-16;-16,950159348806665;9,50159E+14;19;18306
;;;;;
1150;-94;-94,90275883535625;9,02759E+13;11;18317
;;;;;
1151;-95;-95,47668594083359;4,76686E+13;14;18331
;;;;;
1152;-5946;-5946,492998570715;4,92999E+11;220;18551
;;;;;
1153;-267;-267,27383433432504;2,73834E+13;31;18582
;;;;;
1154;-110;-110,39830498378302;3,98305E+13;12;18594
;;;;;
1155;-614;-614,8360040906063;8,36004E+12;37;18631
;;;;;
1156;-115;-115,51466154011939;5,14662E+13;19;18650
;;;;;
1157;-98;-98,71613934324418;7,16139E+13;10;18660
;;;;;
1158;-96;-96,60915810515019;6,09158E+13;14;18674
;;;;;
1159;-128;-128,3631216441851;3,63122E+12;17;18691
;;;;;
1160;-96;-96,9692791472102;9,69279E+12;13;18704
;;;;;
1161;-680;-680,342036441193;3,42036E+11;31;18735
;;;;;
1162;-96;-96,10422244362402;1,04222E+13;13;18748
;;;;;
1163;-106;-106,87971919303195;8,79719E+13;13;18761
;;;;;
1164;-94;-94,95589378687862;9,55894E+13;11;18772
;;;;;
1165;-41;-41,65816362630446;6,58164E+13;17;18789
;;;;;
1166;-97;-97,8817293284838;8,81729E+12;9;18798
;;;;;
1167;-110;-110,53005433435783;5,30054E+13;13;18811
;;;;;
1168;-98;-98,69898872490586;6,98989E+13;11;18822
;;;;;
1169;-98;-98,75935118643264;7,59351E+13;11;18833
;;;;;
1170;-98;-98,70425874245637;7,04259E+13;11;18844
;;;;;
1171;-67;-67,64423834157051;6,44238E+13;23;18867
;;;;;
1172;-98;-98,70693627584586;7,06936E+13;11;18878
;;;;;
1173;-98;-98,7012411141875;7,01241E+12;11;18889
;;;;;
1174;-3831;-3831,2175721087124;2,17572E+12;86;18975
;;;;;
1175;-133;-133,7344785135246;7,34479E+12;19;18994
;;;;;
1176;-41;-41,626198344172906;6,26198E+14;17;19011
;;;;;
1177;-94;-94,94792954279009;9,4793E+13;12;19023
;;;;;
1178;-83;-83,71459626121197;7,14596E+13;12;19035
;;;;;
1179;-2608;-2608,512491618468;5,12492E+11;63;19098
;;;;;
1180;-117;-117,22711108170753;2,27111E+13;13;19111
;;;;;
1181;-60;-60,922077916065746;9,22078E+14;15;19126
;;;;;
1182;-117;-117,19406336359538;1,94063E+13;14;19140
;;;;;
1183;-312;-312,34092207893775;3,40922E+13;34;19174
;;;;;
1184;-41;-41,6585199005919;6,5852E+12;17;19191
;;;;;
1185;-41;-41,525646191941746;5,25646E+14;17;19208
;;;;;
1186;-97;-97,81029046762225;8,1029E+13;8;19216
;;;;;
1187;-83;-83,74861470797288;7,48615E+13;12;19228
;;;;;
1188;-41;-41,65329529740154;6,53295E+13;17;19245
;;;;;
1189;-121;-121,17915798173291;1,79158E+13;16;19261
;;;;;
1190;-141;-141,39004952547924;3,9005E+13;16;19277
;;;;;
1191;-83;-83,19187990444715;1,9188E+13;21;19298
;;;;;
1192;-60;-60,6547185823558;6,54719E+12;15;19313
;;;;;
1193;-81;-81,26609118530149;2,66091E+13;19;19332
;;;;;
1194;429;429,4214326807471;4,21433E+12;50;19382
;;;;;
1195;-41;-41,6179628986641;6,17963E+12;17;19399
;;;;;
1196;-97;-97,22575429562525;2,25754E+13;13;19412
;;;;;
1197;3006;3006,9139698429394;9,1397E+12;198;19610
;;;;;
1198;-94;-94,9764462603616;9,76446E+12;12;19622
;;;;;
1199;-96;-96,91663845769315;9,16638E+13;11;19633
;;;;;
1200;-97;-97,6637191044152;6,63719E+12;13;19646
;;;;;
1201;-5961;-5961,411987119715;4,11987E+11;146;19792
;;;;;
1202;-41;-41,70797400745968;7,07974E+13;17;19809
;;;;;
1203;-36;-36,576333199500084;5,76333E+14;17;19826
;;;;;
1204;-73;-73,70855168971667;7,08552E+13;19;19845
;;;;;
1205;-137;-137,21959624949548;2,19596E+13;24;19869
;;;;;
1206;-41;-41,67723707762019;6,77237E+13;17;19886
;;;;;
1207;-92;-92,44501732590965;4,45017E+13;9;19895
;;;;;
1208;-42;-42,140416349333634;1,40416E+14;15;19910
;;;;;
1209;-41;-41,58388572321823;5,83886E+13;17;19927
;;;;;
1210;-41;-41,646890908376776;6,46891E+14;17;19944
;;;;;
1211;-47;-47,845929822161395;8,4593E+14;19;19963
;;;;;
1212;-126;-126,2477290564707;2,47729E+12;13;19976
;;;;;
1213;-95;-95,51861614150772;5,18616E+13;10;19986
;;;;;
1214;-88;-88,66332593256243;6,63326E+13;11;19997
;;;;;
1215;-41;-41,63669601697299;6,36696E+13;15;20012
;;;;;
1216;-22;-22,420546651743763;4,20547E+14;17;20029
;;;;;
1217;-41;-41,66587114084726;6,65871E+13;17;20046
;;;;;
1218;-120;-120,2475735041514;2,47574E+12;14;20060
;;;;;
1219;-62;-62,38347557561025;3,83476E+13;20;20080
;;;;;
1220;-41;-41,53700135676581;5,37001E+13;17;20097
;;;;;
1221;-96;-96,53916614336873;5,39166E+13;14;20111
;;;;;
1222;-92;-92,10711008126452;1,0711E+13;10;20121
;;;;;
1223;-36;-36,59714828362445;5,97148E+13;17;20138
;;;;;
1224;-108;-108,5534518868103;5,53452E+12;19;20157
;;;;;
1225;-53;-53,47571137704378;4,75711E+13;17;20174
;;;;;
1226;-119;-119,3830967225168;3,83097E+12;13;20187
;;;;;
1227;-86;-86,23210102580103;2,32101E+13;12;20199
;;;;;
1228;-30;-30,587994776613527;5,87995E+14;19;20218
;;;;;
1229;-115;-115,26137088064138;2,61371E+13;13;20231
;;;;;
1230;-40;-40,783728420404;7,83728E+11;17;20248
;;;;;
1231;-94;-94,19201085940901;1,92011E+13;13;20261
;;;;;
1232;-7174;-7174,900448881032;9,00449E+11;238;20499
;;;;;
1233;-170;-170,29665355197687;2,96654E+13;25;20524
;;;;;
1234;-41;-41,681612292762026;6,81612E+14;17;20541
;;;;;
1235;-60;-60,322960581298275;3,22961E+14;19;20560
;;;;;
1236;-6589;-6589,6584774595385;6,58477E+12;214;20774
;;;;;
1237;288;288,5213196919465;5,2132E+12;166;20940
;;;;;
1238;-37;-37,91975338507075;9,19753E+13;19;20959
;;;;;
1239;-81;-81,367247021019;3,67247E+11;14;20973
;;;;;
1240;-28;-28,600925229570663;6,00925E+14;23;20996
;;;;;
1241;2103;2103,989165271895;9,89165E+11;129;21125
;;;;;
1242;1066;1066,1198114463737;1,19811E+12;206;21331
;;;;;
1243;-100;-100,3342891250057;3,34289E+12;19;21350
;;;;;
1244;-78;-78,60873990683072;6,0874E+13;12;21362
;;;;;
1245;-41;-41,62381949311765;6,23819E+13;17;21379
;;;;;
1246;-101;-101,70580943926313;7,05809E+13;12;21391
;;;;;
1247;-99;-99,22609688887232;2,26097E+13;19;21410
;;;;;
1248;-58;-58,76009691040079;7,60097E+13;20;21430
;;;;;
1249;-143;-143,19829413469046;1,98294E+13;23;21453
;;;;;
1250;-97;-97,62209703780508;6,22097E+13;11;21464
;;;;;
1251;-64;-64,8825502233526;8,8255E+12;17;21481
;;;;;
1252;2062;2062,1847677945148;1,84768E+12;79;21560
;;;;;
1253;1790;1790,291784955494;2,91785E+11;50;21610
;;;;;
1254;-64;-64,5933009024054;5,93301E+12;17;21627
;;;;;
1255;-65;-65,19555432598887;1,95554E+13;19;21646
;;;;;
1256;2223;2223,2383443734516;2,38344E+12;140;21786
;;;;;
1257;-96;-96,40257284434298;4,02573E+13;15;21801
;;;;;
