;episode_reward;episode_reward;decimal;nb_episode_steps;nb_steps
149;-109;-109,40262480422828;4,02625E+13;8;4364
;;;;;
150;-98;-98,31860732117715;3,18607E+13;11;4375
;;;;;
151;-98;-98,36652915714382;3,66529E+13;10;4385
;;;;;
152;-98;-98,38670192246536;3,86702E+13;10;4395
;;;;;
153;-109;-109,41597591802878;4,15976E+13;8;4403
;;;;;
154;-132;-132,43414248492545;4,34142E+13;14;4417
;;;;;
155;-109;-109,38147901589733;3,81479E+13;8;4425
;;;;;
156;-183;-183,74403117619084;7,44031E+13;20;4445
;;;;;
157;-109;-109,40222552594773;4,02226E+13;8;4453
;;;;;
158;-109;-109,39971899660608;3,99719E+13;8;4461
;;;;;
159;-109;-109,4002489499662;4,00249E+12;8;4469
;;;;;
160;-112;-112,89298028483395;8,9298E+13;10;4479
;;;;;
161;-109;-109,34642083956109;3,46421E+13;8;4487
;;;;;
162;-127;-127,67482441535859;6,74824E+13;15;4502
;;;;;
163;-109;-109,40389947819557;4,03899E+13;8;4510
;;;;;
164;-112;-112,13880711484188;1,38807E+13;11;4521
;;;;;
165;-104;-104,55972745004945;5,59727E+13;12;4533
;;;;;
166;-212;-212,68884878177832;6,88849E+13;22;4555
;;;;;
167;-107;-107,28396678004523;2,83967E+13;12;4567
;;;;;
168;-122;-122,11855778506188;1,18558E+13;13;4580
;;;;;
169;-104;-104,49156485782456;4,91565E+13;12;4592
;;;;;
170;-98;-98,8441130780383;8,44113E+12;10;4602
;;;;;
171;-98;-98,4099887012569;4,09989E+12;10;4612
;;;;;
172;-109;-109,4009017556277;4,00902E+12;8;4620
;;;;;
173;-112;-112,8955475419078;8,95548E+12;10;4630
;;;;;
174;-100;-100,33547345644686;3,35473E+13;10;4640
;;;;;
175;-104;-104,42916865614308;4,29169E+13;12;4652
;;;;;
176;-119;-119,45077665117705;4,50777E+13;12;4664
;;;;;
177;-101;-101,91106079188845;9,11061E+13;10;4674
;;;;;
178;-107;-107,48738330463922;4,87383E+13;12;4686
;;;;;
179;-120;-120,53590228519809;5,35902E+13;14;4700
;;;;;
180;-109;-109,39671353756592;3,96714E+13;8;4708
;;;;;
181;-107;-107,54956280937009;5,49563E+13;12;4720
;;;;;
182;-109;-109,40176038307266;4,0176E+13;8;4728
;;;;;
183;-109;-109,40481345157929;4,04813E+13;8;4736
;;;;;
184;-109;-109,4086539309126;4,08654E+12;8;4744
;;;;;
185;-136;-136,31512348209068;3,15123E+13;15;4759
;;;;;
186;-109;-109,39525046300315;3,9525E+13;8;4767
;;;;;
187;-120;-120,15174477371247;1,51745E+13;11;4778
;;;;;
188;-107;-107,23395406182684;2,33954E+13;12;4790
;;;;;
189;-127;-127,7032592590586;7,03259E+12;14;4804
;;;;;
190;-212;-212,70686065961908;7,06861E+13;21;4825
;;;;;
191;-307;-307,3699426065454;3,69943E+12;27;4852
;;;;;
192;-132;-132,3812492497484;3,81249E+12;14;4866
;;;;;
193;-109;-109,39547825276932;3,95478E+13;8;4874
;;;;;
194;-134;-134,57168883975248;5,71689E+13;16;4890
;;;;;
195;-109;-109,39128524617718;3,91285E+13;8;4898
;;;;;
196;-118;-118,21438385755141;2,14384E+13;12;4910
;;;;;
197;-127;-127,18669832343195;1,86698E+13;14;4924
;;;;;
198;-112;-112,89327358934969;8,93274E+13;10;4934
;;;;;
199;-293;-293,29483636099405;2,94836E+13;26;4960
;;;;;
200;-112;-112,92192524108273;9,21925E+13;10;4970
;;;;;
201;-112;-112,89388401118089;8,93884E+13;10;4980
;;;;;
202;-109;-109,38358843812074;3,83588E+13;8;4988
;;;;;
203;-104;-104,44736425670115;4,47364E+13;12;5000
;;;;;
204;-144;-144,50124938929267;5,01249E+13;14;5014
;;;;;
205;-109;-109,39976912376662;3,99769E+13;8;5022
;;;;;
206;-117;-117,13291460487875;1,32915E+13;14;5036
;;;;;
207;-143;-143,95340460784888;9,53405E+13;15;5051
;;;;;
208;-144;-144,19727088641937;1,97271E+13;21;5072
;;;;;
209;-134;-134,70112983825732;7,0113E+13;16;5088
;;;;;
210;-116;-116,90149756234464;9,01498E+13;13;5101
;;;;;
211;-122;-122,19508740526291;1,95087E+13;14;5115
;;;;;
212;-2765;-2765,99043648604;99043648604;79;5194
;;;;;
213;-109;-109,39821225837008;3,98212E+13;8;5202
;;;;;
214;-192;-192,77791425352152;7,77914E+13;18;5220
;;;;;
215;-280;-280,157130470179;1,5713E+11;26;5246
;;;;;
216;-116;-116,34079764428924;3,40798E+13;12;5258
;;;;;
217;-101;-101,1170978472871;1,17098E+12;11;5269
;;;;;
218;-127;-127,53396688281026;5,33967E+13;13;5282
;;;;;
219;-127;-127,54484347997828;5,44843E+13;13;5295
;;;;;
220;-100;-100,37290592213239;3,72906E+13;10;5305
;;;;;
221;-132;-132,4475430876312;4,47543E+12;14;5319
;;;;;
