,episode_reward,nb_episode_steps,nb_steps
342,-105.74079252638526,20,24384
343,-103.63833595663448,19,24403
344,-100.37253445036549,201,24604
345,-160.60968935059958,56,24660
346,-114.15216287647992,22,24682
347,-100.78639263601869,15,24697
348,-101.47000331746185,12,24709
349,70.37330503023301,136,24845
350,-195.73439020469363,14,24859
351,29.500878063306985,177,25036
352,33.94796367890868,172,25208
353,-100.84165470549985,17,25225
354,-107.90168297506992,21,25246
355,142.54479291630335,63,25309
356,151.86943329198726,52,25361
357,123.21890431742818,82,25443
358,-196.63130666502423,9,25452
359,142.52992188502455,64,25516
360,110.23973483556824,96,25612
361,-100.04366878774788,92,25704
362,-100.85762812200097,128,25832
363,-101.19297982950964,119,25951
364,-101.35094646829269,118,26069
365,-101.75254512554778,173,26242
366,-103.48930042508843,15,26257
367,67.41181186527243,139,26396
368,-101.2636956086938,15,26411
369,-114.93119869322307,24,26435
370,147.08584144344857,59,26494
371,-198.67573779123552,17,26511
372,-101.85082496304567,132,26643
373,129.69715078728865,76,26719
374,134.16902010278284,71,26790
375,144.70767514168057,61,26851
376,-117.18363192032434,35,26886
377,-100.58417344843797,138,27024
378,-100.15628133746364,184,27208
379,130.70808799031107,74,27282
380,-113.98097793546806,29,27311
381,-116.29040573258224,31,27342
382,-111.24769340878868,24,27366
383,76.5073551698781,130,27496
384,-102.95300529305887,15,27511
385,144.57648460214668,61,27572
386,-117.4010054176985,31,27603
387,-115.80192246170321,27,27630
388,-105.10319176196556,18,27648
389,-121.37158088172204,34,27682
390,-102.90941202328843,16,27698
391,-111.90478189756898,25,27723
392,-104.85870852146206,18,27741
393,-106.08138629304756,21,27762
394,109.76372778184604,96,27858
395,82.87074972500292,123,27981
396,140.1778723830376,66,28047
397,-102.91477966943816,21,28068
398,-103.5847443316643,18,28086
399,-106.2934700889779,17,28103
400,-103.28498541685532,16,28119
401,-102.02263638916509,16,28135
402,-100.71181611409084,15,28150
403,-115.15924443269986,29,28179
404,80.15272051065374,126,28305
405,-108.92897209003212,21,28326
406,-122.49636682031377,34,28360
407,-109.39530135318103,20,28380
408,-197.09157547591965,10,28390
409,-104.2095815559066,18,28408
410,-107.49718029562503,22,28430
411,-111.27074141741794,22,28452
412,-103.73755670143144,14,28466
413,-124.79952395083473,40,28506
414,-104.24636198465339,16,28522
415,-106.2290675899051,17,28539
416,-126.4318594003602,37,28576
417,38.52054673719494,167,28743
418,138.04516495433288,65,28808
419,94.10423829431251,110,28918
420,-149.63435182169584,64,28982
421,-107.211518837534,17,28999
422,-125.68239703316083,40,29039
423,-103.32626100786177,16,29055
424,-112.29258721036064,28,29083
425,158.99016649353777,46,29129
426,-198.4421619775878,11,29140
427,-106.26937920530625,21,29161
428,134.3320041320251,71,29232
429,-119.01964867154096,34,29266
430,136.34332483272442,68,29334
431,150.31900515197523,55,29389
432,-140.04520180528726,52,29441
433,-112.02397186953222,24,29465
434,-110.68005403006048,24,29489
435,-102.66708394346443,17,29506
436,-119.92526492971838,31,29537
437,-130.84293059284545,45,29582
438,-101.51252965971497,13,29595
439,-117.4055741537816,30,29625
440,-113.50256001789415,24,29649
441,-111.47505118238365,24,29673
442,156.20322615346836,49,29722
443,-102.50993191370956,17,29739
444,-108.06444922864942,28,29767
445,-120.23771734078102,30,29797
446,-100.35371009393808,13,29810
447,150.98491092395832,55,29865
448,-107.38059156475504,20,29885
449,-109.14964177661605,20,29905
450,134.76427546637063,71,29976
451,-110.17641618066796,18,29994
452,141.60576806564308,64,30058
453,134.51136180479966,71,30129
454,142.13655051426684,62,30191
455,-104.51223747781576,20,30211
456,-108.58689137178234,22,30233
457,140.976400869707,62,30295
458,137.8681098266454,65,30360
459,-103.88056483604062,16,30376
460,-105.44240595957416,15,30391
461,140.20355125891606,66,30457
462,147.02564335497715,59,30516
463,121.10611409633056,82,30598
464,-112.90944889424158,26,30624
465,99.29032759637263,105,30729
466,-121.24328679943414,38,30767
467,-116.18888653408982,30,30797
468,-102.32765862985511,21,30818
469,73.23308940709529,130,30948
470,141.03746277779726,65,31013
471,-121.34374753054112,33,31046
472,-114.13297457082281,26,31072
473,107.32755784446415,99,31171
474,130.8784718347638,74,31245
475,-105.20402431206817,15,31260
476,138.67536493217875,66,31326
477,152.19852872362173,53,31379
478,148.88761844390837,57,31436
479,131.4594480001224,74,31510
480,-103.95324076541563,19,31529
481,-106.308861187865,17,31546
482,-100.60002430176075,18,31564
483,123.61147413800599,82,31646
484,-101.40674075345717,11,31657
485,95.83061740090233,107,31764
486,-106.28727277872956,14,31778
487,151.32050090486956,55,31833
488,136.50199201958148,70,31903
489,-102.63410391156285,16,31919
490,125.41308662214519,81,32000
491,-106.59360872368543,21,32021
